example_id                                                             | status | run_time        |
./spec/controllers/documents_controller_spec.rb[1:4:2:1]               | passed | 0.00304 seconds |
./spec/controllers/documents_controller_spec.rb[1:5:1:1:1:1]           | passed | 0.01847 seconds |
./spec/controllers/documents_controller_spec.rb[1:5:1:1:1:2]           | passed | 0.02084 seconds |
./spec/controllers/documents_controller_spec.rb[1:5:1:1:2:1]           | passed | 0.02118 seconds |
./spec/controllers/documents_controller_spec.rb[1:5:1:2:1]             | passed | 0.02351 seconds |
./spec/controllers/documents_controller_spec.rb[1:5:2:1]               | passed | 0.00128 seconds |
./spec/controllers/documents_controller_spec.rb[1:6:1:1:1:1]           | passed | 0.02041 seconds |
./spec/controllers/documents_controller_spec.rb[1:6:1:1:1:2]           | passed | 0.02355 seconds |
./spec/controllers/documents_controller_spec.rb[1:6:1:1:1:3]           | passed | 0.02118 seconds |
./spec/controllers/documents_controller_spec.rb[1:6:1:1:2:1]           | passed | 0.02252 seconds |
./spec/controllers/documents_controller_spec.rb[1:6:1:2:1]             | passed | 0.02372 seconds |
./spec/controllers/documents_controller_spec.rb[1:6:2:1]               | passed | 0.01926 seconds |
./spec/controllers/documents_controller_spec.rb[1:7:1:1:1]             | passed | 0.02088 seconds |
./spec/controllers/documents_controller_spec.rb[1:7:1:1:2]             | passed | 0.02266 seconds |
./spec/controllers/documents_controller_spec.rb[1:7:1:2:1]             | passed | 0.02146 seconds |
./spec/controllers/documents_controller_spec.rb[1:7:2:1]               | passed | 0.00164 seconds |
./spec/controllers/events_controller_spec.rb[1:1:1]                    | passed | 0.0037 seconds  |
./spec/controllers/events_controller_spec.rb[1:2:1:1]                  | passed | 0.00357 seconds |
./spec/controllers/events_controller_spec.rb[1:2:1:2]                  | passed | 0.00482 seconds |
./spec/controllers/events_controller_spec.rb[1:2:2:1]                  | passed | 0.00204 seconds |
./spec/controllers/events_controller_spec.rb[1:3:1]                    | passed | 0.0022 seconds  |
./spec/controllers/events_controller_spec.rb[1:4:1:1]                  | passed | 0.00445 seconds |
./spec/controllers/events_controller_spec.rb[1:4:1:2]                  | passed | 0.00917 seconds |
./spec/controllers/events_controller_spec.rb[1:4:2:1]                  | passed | 0.00169 seconds |
./spec/controllers/events_controller_spec.rb[1:5:1:1:1:1]              | passed | 5.03 seconds    |
./spec/controllers/events_controller_spec.rb[1:5:1:1:1:2]              | passed | 0.02501 seconds |
./spec/controllers/events_controller_spec.rb[1:5:1:1:2:1]              | passed | 0.02448 seconds |
./spec/controllers/events_controller_spec.rb[1:5:1:2:1]                | passed | 0.01855 seconds |
./spec/controllers/events_controller_spec.rb[1:5:2:1]                  | passed | 0.00172 seconds |
./spec/controllers/events_controller_spec.rb[1:6:1:1:1:1]              | passed | 0.02136 seconds |
./spec/controllers/events_controller_spec.rb[1:6:1:1:1:2]              | passed | 0.03476 seconds |
./spec/controllers/events_controller_spec.rb[1:6:1:1:1:3]              | passed | 0.02333 seconds |
./spec/controllers/events_controller_spec.rb[1:6:1:1:1:4]              | passed | 0.02585 seconds |
./spec/controllers/events_controller_spec.rb[1:6:1:1:2:1]              | passed | 0.03052 seconds |
./spec/controllers/events_controller_spec.rb[1:6:1:2:1]                | passed | 0.02102 seconds |
./spec/controllers/events_controller_spec.rb[1:6:2:1]                  | passed | 0.03837 seconds |
./spec/controllers/events_controller_spec.rb[1:7:1:1:1]                | passed | 0.0222 seconds  |
./spec/controllers/events_controller_spec.rb[1:7:1:1:2]                | passed | 0.02561 seconds |
./spec/controllers/events_controller_spec.rb[1:7:1:2:1]                | passed | 0.02637 seconds |
./spec/controllers/events_controller_spec.rb[1:7:2:1]                  | passed | 0.00185 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:1:1]                | passed | 0.01944 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:1:2]                | passed | 0.02067 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:2:1]                | passed | 0.00383 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:1]                  | passed | 0.00141 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:2]                  | passed | 0.00155 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:1:1]            | passed | 0.00659 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:2:1:1]          | passed | 0.00398 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:2:1:2]          | passed | 0.00499 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:2:2:1]          | passed | 0.00232 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:3:1]            | passed | 0.00222 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:4:1:1]          | passed | 0.00293 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:4:1:2]          | passed | 0.00395 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:4:2:1]          | passed | 0.00222 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:5:1:1:1:1]      | passed | 0.02057 seconds |
